t	I
97.695888	0.392495
97.772183	0.441221
97.848478	0.510781
97.924773	0.606764
98.001068	0.740422
98.077363	0.932856
98.153658	1.190264
98.229953	1.52855
98.306249	1.955818
98.382544	2.452303
98.458839	2.995088
98.535134	3.521249
98.611429	3.941993
98.687724	4.187131
98.764019	4.194577
98.840314	3.957534
98.916609	3.528822
98.992905	2.977765
99.0692	2.390768
99.145495	1.839976
99.22179	1.363611
99.298085	0.980057
99.37438	0.687637
99.450675	0.472384
99.52697	0.320217
99.603265	0.216409
99.679561	0.147015
99.755856	0.101996
99.832151	0.073121
99.908446	0.054129
99.984741	0.041434
100.061036	0.032227
100.137331	0.025071
100.213626	0.01942
100.289921	0.014716
100.366217	0.011152
100.442512	0.008732
100.518807	0.007166
100.595102	0.006464
100.671397	0.006307
100.747692	0.006311
100.823987	0.006743
100.900282	0.007326
100.976577	0.007415
101.052873	0.007475
101.129168	0.007014
101.205463	0.005715
101.281758	0.004795
101.358053	0.003593
101.434348	0.002084
101.510643	0.001508
101.586938	0.001647
101.663233	0.002144
101.739528	0.003605
101.815824	0.007425
101.892119	0.010777
101.968414	0.014801
102.044709	0.023977
102.121004	0.029387
102.197299	0.035332
102.273594	0.048833
102.349889	0.051189
102.426184	0.056337
102.50248	0.07073
102.578775	0.065924
102.65507	0.07029
102.731365	0.081331
102.80766	0.066552
102.883955	0.0725
102.96025	0.077064
103.036545	0.060987
103.11284	0.080702
103.189136	0.084744
103.265431	0.089805
103.341726	0.143312
103.418021	0.162891
103.494316	0.222762
103.570611	0.336282
103.646906	0.397047
103.723201	0.548289
103.799496	0.74592
103.875792	0.874011
103.952087	1.138717
104.028382	1.428699
104.104677	1.633987
104.180972	1.994947
104.257267	2.3392
104.333562	2.568983
104.409857	2.916707
104.486152	3.181029
104.562448	3.286917
104.638743	3.433912
104.715038	3.456753
104.791333	3.31577
104.867628	3.171551
104.943923	2.939979
105.020218	2.607441
105.096513	2.285793
105.172808	1.955383
105.249104	1.605124
105.325399	1.292037
105.401694	1.02051
105.477989	0.774921
105.554284	0.569443
105.630579	0.40653
105.706874	0.275621
105.783169	0.177133
105.859464	0.108931
105.93576	0.066455
106.012055	0.047059
106.08835	0.046891
106.164645	0.06612
106.24094	0.101449
106.317235	0.153012
106.39353	0.22635
106.469825	0.31662
106.54612	0.43165
